taxon_oid	Domain	Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Genome Size   * assembled	Gene Count   * assembled
2588253501	Bacteria	Permanent Draft	"Genome Sequencing of Nitrosomonas cryotolerans and Nitrosospira briensis, missing pieces for comparative phylogenomics of ammonia-oxidizing bacteria"	Nitrosomonas cryotolerans ATCC 49181	DOE Joint Genome Institute (JGI)	2588253501	2928185	2710
2737471636	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas ureae Nm4	DOE Joint Genome Institute (JGI)	2737471636	3274835	3212
2724679654	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas sp. Nm120	DOE Joint Genome Institute (JGI)	2724679654	3374146	3247
2737471640	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas nitrosa Nm90	DOE Joint Genome Institute (JGI)	2737471640	3420013	3203
2675903143	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosovibrio sp. Nv6	DOE Joint Genome Institute (JGI)	2675903143	3267734	3192
2671180136	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas crytolerans Nm55	DOE Joint Genome Institute (JGI)	2671180136	2783395	2538
2757320375	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira sp. Nsp44	DOE Joint Genome Institute (JGI)	2757320375	3343961	3093
2671180069	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira multiformis Nl7	DOE Joint Genome Institute (JGI)	2671180069	3195397	3031
2747842410	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira multiformis Nsp16 (v2)	DOE Joint Genome Institute (JGI)	2747842410	3204209	2977
2671180081	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas eutropha Nm38	DOE Joint Genome Institute (JGI)	2671180081	2418608	2361
2737471624	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas sp. Nm141	DOE Joint Genome Institute (JGI)	2737471624	3168389	3029
650716067	Bacteria	Finished	Nitrosomonas oligotropha Proposal # 0083-060710	Nitrosomonas sp. IS79A3	DOE Joint Genome Institute (JGI)	650716067	3783444	3597
2671180077	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira sp. 1 Nsp1	DOE Joint Genome Institute (JGI)	2671180077	3281968	3160
2671180074	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira multiformis Nl4	DOE Joint Genome Institute (JGI)	2671180074	3213405	3056
2737471630	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas aestuarii Nm36	DOE Joint Genome Institute (JGI)	2737471630	3442742	3189
2737471626	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira multiformis Nl3	DOE Joint Genome Institute (JGI)	2737471626	3232805	3052
2747842412	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas sp. Nm143 (v3)	DOE Joint Genome Institute (JGI)	2747842412	3785965	3322
2737471621	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas nitrosa Nm91	DOE Joint Genome Institute (JGI)	2737471621	3092606	2871
2737471643	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira sp. Nsp2	DOE Joint Genome Institute (JGI)	2737471643	3461598	3256
2675903042	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas sp. 33 Nm33	DOE Joint Genome Institute (JGI)	2675903042	3233933	3144
2627854142	Bacteria	Finished	Nitrosomonas communis Nm2	Nitrosomonas communis Nm2	University of Alberta	2627854142	4067838	3924
2744054926	Bacteria	Permanent Draft	Methylobacillus sp. MM2 genome sequencing	Methylobacillus sp. MM2	University of East Anglia	2744054926	2934662	2928
2724679738	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas ureae Nm15	DOE Joint Genome Institute (JGI)	2724679738	3064188	2940
2675903043	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas communis Nm44	DOE Joint Genome Institute (JGI)	2675903043	4421028	4490
2737471619	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas sp. Nm84	DOE Joint Genome Institute (JGI)	2737471619	3465753	3238
2675903045	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas communis Nm2	DOE Joint Genome Institute (JGI)	2675903045	3847768	3753
637000197	Bacteria	Finished	Five Bacteria involved in Nitrification	Nitrosospira multiformis ATCC 25196	DOE Joint Genome Institute (JGI)	637000197	3234309	2885
2671180218	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas nitrosa Nm146	DOE Joint Genome Institute (JGI)	2671180218	3154865	2955
2675903044	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas communis Nm110	DOE Joint Genome Institute (JGI)	2675903044	3660956	3478
2675903038	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas sp. 41 Nm132	DOE Joint Genome Institute (JGI)	2675903038	3205039	3097
2734482836	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira sp. Nsp5	DOE Joint Genome Institute (JGI)	2734482836	3465515	3276
2734482834	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira multiformis Nl12	DOE Joint Genome Institute (JGI)	2734482834	3293337	3184
2739367902	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosovibrio sp. Nv12	DOE Joint Genome Institute (JGI)	2739367902	3267028	3188
650716066	Bacteria	Finished	Nitrosomonas Isolates	Nitrosomonas sp. AL212	DOE Joint Genome Institute (JGI)	650716066	3337023	3238
2737471620	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas sp. Nm86	DOE Joint Genome Institute (JGI)	2737471620	3496011	3274
2671180078	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira sp. Nsp14	DOE Joint Genome Institute (JGI)	2671180078	3356227	3146
2636415522	Bacteria	Permanent Draft	"Genome sequence of Nitrosospira lacus, a psychrotolerant ammonia-oxidizing bacterium from sandy lake sediment"	Nitrosospira lacus APG3	Aalborg University	2636415522	3107181	2965
637000196	Bacteria	Finished	Five Bacteria involved in Nitrification	Nitrosomonas eutropha C91	DOE Joint Genome Institute (JGI)	637000196	2781824	2695
2671180082	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas marina Nm22	DOE Joint Genome Institute (JGI)	2671180082	3496909	3341
2675903039	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas ureae Nm9	DOE Joint Genome Institute (JGI)	2675903039	3337185	3216
2737471627	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira sp. Nsp6	DOE Joint Genome Institute (JGI)	2737471627	3464999	3279
2671180076	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira multiformis Nl18	DOE Joint Genome Institute (JGI)	2671180076	3572403	3508
2738541241	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira sp. Nsp37	DOE Joint Genome Institute (JGI)	2738541241	3229193	3098
2737471628	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas ureae Nm5	DOE Joint Genome Institute (JGI)	2737471628	3138527	2961
2734482144	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas ureae Nm42	DOE Joint Genome Institute (JGI)	2734482144	3746813	3674
2671180127	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira multiformis Nl13	DOE Joint Genome Institute (JGI)	2671180127	3157522	2958
2675903037	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas sp. 51 Nm51	DOE Joint Genome Institute (JGI)	2675903037	3244868	3075
2671180073	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira sp. 1 Nsp11	DOE Joint Genome Institute (JGI)	2671180073	3207126	3136
2675903036	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas sp. 41 Nm58	DOE Joint Genome Institute (JGI)	2675903036	3317747	3209
2737471618	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira sp. Nsp22	DOE Joint Genome Institute (JGI)	2737471618	3147023	3023
2737471641	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas eutropha Nm57	DOE Joint Genome Institute (JGI)	2737471641	2668035	2667
2675903041	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas halophila Nm1	DOE Joint Genome Institute (JGI)	2675903041	3211662	3057
2737471629	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas oligotropha Nm49	DOE Joint Genome Institute (JGI)	2737471629	3403270	3300
2675903144	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira briensis Nsp8	DOE Joint Genome Institute (JGI)	2675903144	3233677	3035
2671180036	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosovibrio sp. Nv17	DOE Joint Genome Institute (JGI)	2671180036	2837194	2666
637000165	Bacteria	Finished	Methylobacillus flagellatus KT	Methylobacillus flagellatus KT	DOE Joint Genome Institute (JGI)	637000165	2971517	2824
2582581324	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Nitrosomonas europaea ATCC 25978	DOE Joint Genome Institute (JGI)	2582581324	2736206	2694
2675903040	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas sp. Nm34	DOE Joint Genome Institute (JGI)	2675903040	3801938	3738
2671180029	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas ureae Nm10	DOE Joint Genome Institute (JGI)	2671180029	3238349	3137
2671180133	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas europaea Nm35	DOE Joint Genome Institute (JGI)	2671180133	2700961	2610
2671180079	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira multiformis Nl14	DOE Joint Genome Institute (JGI)	2671180079	3442060	3377
2671180072	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas eutropha Nm24	DOE Joint Genome Institute (JGI)	2671180072	2344427	2290
2585427884	Bacteria	Permanent Draft	Genome sequencing of Methylobacillus glycogenes JCM 2850	Methylobacillus glycogenes JCM 2850	University of Tokyo	2585427884	3248999	3631
2657245330	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains"	Methylobacillus rhizosphaerae Ca-68	DOE Joint Genome Institute (JGI)	2657245330	2368811	2359
2737471617	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas eutropha Nm19	DOE Joint Genome Institute (JGI)	2737471617	2532595	2431
2667527227	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira multiformis Nl1	DOE Joint Genome Institute (JGI)	2667527227	3515922	3302
2671180130	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas ureae Nm13	DOE Joint Genome Institute (JGI)	2671180130	3186494	3036
2671180042	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira sp. Nl5	DOE Joint Genome Institute (JGI)	2671180042	3032078	2952
2671180131	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas oligotropha Nm75	DOE Joint Genome Institute (JGI)	2671180131	3323109	3225
2737471642	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas sp. Nm134	DOE Joint Genome Institute (JGI)	2737471642	3164760	3069
2747842409	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira multiformis Nl15 (v3)	DOE Joint Genome Institute (JGI)	2747842409	3323034	3176
2627854152	Bacteria	Permanent Draft	Nitrosospira sp. NpAV Genome sequencing	Nitrosospira sp. NpAV	"University of North Carolina, Charlotte"	2627854152	3449556	3420
2671180132	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas oligotropha Nm76	DOE Joint Genome Institute (JGI)	2671180132	3338551	3232
2671180080	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira sp. Nsp18	DOE Joint Genome Institute (JGI)	2671180080	3134241	2985
